term_a,freq_a,term_b,freq_b,cosine_similarity
炒出来,1,进去,13,-0.199969
差不多,3,混合,2,-0.200867
加热,7,进去,13,-0.202858
普通,1,简单,1,-0.205921
压开,1,混合,2,-0.206577
弄散,1,翻炒,9,-0.212624
打散,6,米饭,30,-0.214235
材料,1,结块,1,-0.214531
味道,1,锅里,4,-0.217538
一起,2,关火,1,-0.218105
弄散,1,饭粒,1,-0.219582
关火,1,颜色,1,-0.219721
材料,1,炒出来,1,-0.222051
压开,1,沾上,1,-0.222872
普通,1,香味,1,-0.234644
关火,1,加盐,2,-0.238242
倒进,1,进去,13,-0.2481
打入,3,颜色,1,-0.25715
打入,3,米饭,30,-0.261723
出锅,3,沾上,1,-0.262882
压散,1,混合,2,-0.27008
沾上,1,颜色,1,-0.363476
